"id","competitor","url","category","geography","languages","target_customer","positioning","delivery_model","human_vs_automated","public_price_checked_2026_07_10","refund_or_guarantee","followup_or_retention","trust_and_proof","privacy_and_ai_disclosure","acquisition_or_scale_signal","strength","weakness_or_complaint","strategic_vulnerability","implication_for_zhiji","detail_level","confidence"
"1","Master Sean Chan","https://www.masterseanchan.com/bazi-consultation/","Premium BaZi practitioner","Singapore / international","English; Chinese","High-intent career relationship property and business clients","Rigorous modern Chinese metaphysics analysis","Written email report; optional Q&A; private session","Named human","US$588 single; US$888 two charts; US$1,288 private; US$200 Q&A","No broad accuracy guarantee found","Paid seven-working-day Q&A add-on","Named practitioner; 15+ years self-claim; media; long-form method content; anti-remedy stance","No prominent AI disclosure captured; privacy detail limited in sampled page","Content authority and international SEO; no audited volume found","Closest serious premium direct benchmark","Expensive; synchronous access and follow-up unbundled; outcomes are testimonials not audit","Person-capacity and founder-authority constrained","Compete on documented calibration included follow-up bilingual diaspora context and outcome review; not design or AI prose","Detailed teardown","High for live price; medium for trust interpretation"
"2","Joey Yap Consulting Group","https://www.joeyyap.com/bookingsystem/","Scaled BaZi and Feng Shui authority","Malaysia / Singapore / international","English; Chinese","Mainstream and premium clients seeking a recognized authority","A map of strengths behavior talents and cycles; explicitly not psychic","Consultant team by Zoom or in person; celebrity principal quote-only","Human team under founder brand","US$298 consultant; founder quote-only with 8+ week wait","Official terms: withdrawal 14+ days before appointment and preparation; 20% cancellation fee","One-off consultation; broader courses and events","Founder fame; books; physical organization; named consultant; private Zoom claim","No material AI use captured","Books courses events media and search; scale signals are organizational not audited customers","Authority brand can scale through consultant bench","Principal-versus-associate ambiguity and possible quality dilution","Brand depends on founder authority transfer","Always name responsible reviewer and disclose who actually performs work","Detailed teardown","High for current booking price and terms"
"3","Way Fengshui","https://www.wayfengshui.com/service_personal_catg/life-analysis/","Multi-practitioner BaZi firm","Singapore","English; Mandarin","Career relationship wealth health and growth clients","Make the right life choices","Report plus 45-minute consultation; practitioner tiers; annual review","Named or assigned humans","S$95.92 promotion; S$204.92 associate; S$226.72–422.92 named master; S$1,839.92 grand master","No broad guarantee captured","Annual review at practitioner tier","Since-1984 firm self-claim; named tiers; physical presence; client testimonials","No material AI disclosure captured","Local brand content and tiered booking; sales volume not public","Transparent ladder and credible mainstream price anchors","Practitioner-tier quality uncertainty; testimonial evidence self-selected","Senior-name scarcity and associate consistency","A transparent practitioner ladder is useful only after Zhiji can measure QA","Detailed teardown","High for live price and format"
"4","Master So / 蘇民峰","https://www.masterso.com/life/life.php","Celebrity private BaZi practitioner","Hong Kong","Cantonese; Traditional Chinese","Status-oriented Cantonese buyers","Celebrity master personal analysis","Human audio; full service permits up to 8 initial questions plus 5 follow-ups; annual permits 5 questions","Named human","HK$12,800 full; HK$5,800 annual","Official page allows specified erroneous/excess payment, cancellation, scope, and personal-reason refunds subject to 10% fee; dissatisfaction with extra answers is nonrefundable","Annual reading; bounded question window","Celebrity media authority and personal name","No AI disclosure; privacy detail not captured","Celebrity media and reputation; no audited volume","Demonstrates extreme authority premium","Audio-led; restrictive scope; opaque delayed-outcome evidence","Non-transferable celebrity brand","High ticket is authority pricing not evidence an unknown brand can charge it","Detailed teardown","High for live first-party price/scope; low for volume"
"5","玄燊命理","https://mastermysan.com/8000-25pages-hkd-wts-backup/","Productized independent practitioner","Hong Kong / diaspora","Traditional Chinese; Cantonese","Buyers wanting a long written life report","8,000-word 25-page 命书 with aftercare","Human or team-produced PDF; 2–3 weeks","Human-led claim; exact AI role not disclosed","HK$1,500 list; promotion observed HK$980","Official offer advertises 100% refund within 14 days if the buyer considers the report inaccurate; legal operation of the promise not tested","Team aftercare; written artifact","Length; practitioner identity; supplier testimonials and diaspora reach claims","AI and detailed privacy posture not prominent","Direct response and social promotion; scale self-claims unverified","Clear artifact and proof-before-purchase ladder","Report length is easy to imitate; accuracy guarantee and supplier testimonials do not prove future outcomes","Automated reports compress the value of long documents","Use a narrow process/fit guarantee rather than a prediction-accuracy promise","Detailed teardown","High for live offer/guarantee text; medium-low for promotion and scale claims"
"6","鐵筆判官 / Titbup","https://www.titbup.com/index.php/archives/category/fee","Independent traditional practitioner","Hong Kong","Traditional Chinese; Cantonese","Traditional-market clients","Transparent personal consultation and optional 命书","70–90 minute meeting; optional written book","Human","HK$2,200 consultation; HK$2,800 with 命书 on 2023 fee page","Not publicly captured","One-off; written artifact option","Named practitioner and transparent fee/time","No AI disclosure; privacy not captured","Content and referrals; scale not public","Useful Hong Kong mid-tier price anchor","Older price page and limited product/quality documentation","Traditional trust may not translate to diaspora professionals","Zhiji can justify premium through follow-through and privacy rather than report add-on alone","Longlist","Medium-high"
"7","Master Xu","https://fengshuimasterxu.com/products/bazi-consultation","Productized BaZi report plus remedy option","Singapore / international","English","Clients wanting a long-range roadmap","Ten-year roadmap and practical strategy","Eight-question email intake then 15–20 page PDF within 4 weeks or 35–40 page PDF within 4–6 weeks; comprehensive tier has one email follow-up; optional crystal","Production role undisclosed; do not assume human-only","US storefront displayed about US$245 essence; US$596 no-crystal mastery; US$765 mastery with crystal","General ecommerce refund policy linked; service-specific outcome guarantee not captured","One email follow-up on comprehensive tier; product/remedy upsell possible","Practitioner brand and productized ecommerce; 10,000-lives claim is supplier self-claim","No material AI-production disclosure captured","Search ecommerce and content; no audited volume","Concrete scope and strategy language","No live consultation stated; remedy/object coupling contaminates trust","Upsell incentives and undisclosed production method","Publish a no-remedy/no-affiliate firewall and disclose exact human/AI production","Longlist","High for live scope/price; low for scale claim"
"8","Yuan Zhong Siu","https://yuanzhongsiu.com/service-listing/bazi-reading/","BaZi and Feng Shui firm","Singapore","English; Chinese","Local clients seeking established firm","Traditional consultation service","Human reading","Human","Not publicly captured","Not publicly captured","Not publicly captured","Established local practice","No AI disclosure captured","Local brand and referrals; scale not public","Cultural authority","Limited transparent price and workflow evidence in sampled page","Opaque process creates comparison friction","Publish exact scope timeline price and reviewer","Longlist","Medium"
"9","8 Treasures / Janet Yung","https://8treasures.biz/personal-bazi-consultation-rates/","BaZi and Qi Men consultant","Singapore","English","Career business and life clients","Strategic execution through metaphysics","Human advisory","Human","Not reliably captured from sampled page","Not publicly captured","Not publicly captured","Named consultant and strategic content","No AI disclosure captured","Content and referrals","Close substitute for decision framing","Price and outcome evidence not public in capture","Can own practical strategy language with personal authority","Zhiji must distinguish interpretive lens from regulated business advice","Longlist","Medium"
"10","Master Mandy Lim","https://masterlimfengshui.com/services/online-bazi-taiwan/","Cross-border practitioner","Singapore / Taiwan / international","Chinese; English","Overseas Chinese seeking remote access","Online BaZi consultation","Zoom or WhatsApp; recording and short notes","Human","Not publicly captured","Not publicly captured","Recording and notes","Named practitioner and cross-border delivery","No AI disclosure captured","Search and social; scale unknown","Explicit online Chinese delivery","Limited transparent pricing and product method","Remote access alone is not differentiating","Zhiji needs stronger calibration privacy and outcome workflow","Longlist","Medium"
