model_id,section,market,scenario,population_base,adult_share,life_event_rate,category_openness,ability_wtp_rate,purchase_rate,reachable_share,purchase_frequency,blended_case_aov_usd,modeled_buyers,modeled_cases,revenue_usd,revenue_rmb,formula,semantics,variable_status,confidence,notes
FX-01,FX,All,Planning,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,6.79,"US$1 × 6.79","currency_conversion","Fact; CFETS reference checked 2026-07-10",High,"All RMB outputs use one planning rate; actual settlement varies"
POP-US,Population universe,United States,Base,5500000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pew published Census tabulation rounded to 5.5m","population_count","Fact rounded by source",High,"Chinese category definitions may separate Taiwanese origin; do not assume full coverage of the strategic ICP"
POP-CA,Population universe,Canada,Base,1715775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Statistics Canada 2021 Chinese population","population_count","Fact",High,"National definitions differ"
POP-UK,Population universe,United Kingdom,Base,502216,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"England/Wales 445646 + Scotland 47075 + Northern Ireland 9495","population_count","Fact sum across 2021/2022 censuses",High,"Different census years"
POP-AU,Population universe,Australia,Base,1390639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ABS Chinese ancestry 2021","population_count","Fact",High,"Multiple ancestry responses allowed; not a Mandarin-speaking count"
POP-NZ,Population universe,New Zealand,Base,279039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stats NZ Chinese ethnic group 2023","population_count","Fact",High,"Total-response ethnicity"
POP-SG,Population universe,Singapore,Base,3123943.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2045m 2025 residents × 74.3% Chinese share from 2020 = 3123943.5","derived_population_count","Fact inputs; inference multiplication",Medium,"population_base stores the derived count; Singapore Chinese are primarily local residents rather than diaspora"
POP-CORE,Population universe,Selected higher-income-market Chinese population,Base,12511612.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5500000 + 1715775 + 502216 + 1390639 + 279039 + 3123943.5","population_count","Mixed official facts; U.S. rounded; Singapore inferred",Medium,"Not a high-income-person count and not all diaspora"
POP-MY,Population universe,Malaysia Chinese citizens,Base,6921600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30.9m citizens × 22.4% Chinese","population_count","Fact inputs; inference multiplication",Medium,"Lower feasible USD price than Singapore"
POP-OVERSEAS,Population universe,Included overseas markets,Base,19433212.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12511612.5 + 6921600","population_count","Inference",Medium,"Excludes unverified Southeast Asian diaspora counts"
MPOP-C,Mainland affluent proxy,Mainland selected-city affluent adults,Conservative,20000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"953.8m urban × 35% age 28–54 × 20% top-income × 30% selected-city concentration = 20.03m; scenario rounded to 20m","derived_population_proxy","Official urban base; age and city shares hypotheses; income quintile fact",Low,"population_base stores the derived proxy; not a count of buyers"
MPOP-B,Mainland affluent proxy,Mainland selected-city affluent adults,Base,30000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"953.8m urban × 40% age 28–54 × 20% top-income × 40% selected-city concentration = 30.52m; scenario rounded to 30m","derived_population_proxy","Official urban base; age and city shares hypotheses; income quintile fact",Low,"population_base stores the derived proxy; not launch SAM"
MPOP-A,Mainland affluent proxy,Mainland selected-city affluent adults,Aggressive,43000000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"953.8m urban × 45% age 28–54 × 20% top-income × 50% selected-city concentration = 42.92m; scenario rounded to 43m","derived_population_proxy","Official urban base; age and city shares hypotheses; income quintile fact",Low,"population_base stores the derived proxy; upper-bound denominator"
MPOP-STRICT,Mainland affluent proxy,Mainland HNWI alternate anchor,Alternate,3160000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CMB/Bain estimate of people with RMB10m+ investable assets in 2022","population_proxy","Commercial estimate",Medium,"Much narrower than the modeled affluent-professional pool"
OTAM-HC,Overseas top-down TAM,Selected higher-income markets,Conservative,12511612.5,0.50,0.20,0.10,0.25,0.40,1.00,1.00,120,12512,12512,1501394,10194462,"12511612.5 × 50% × 20% × 10% × 25% × 40% × 1 case × US$120","annual_category_buyers_and_cases","Population facts; behavioral rates hypotheses",Low,"One modeled buyer is assumed to make one paid category purchase per year"
